language,domain,dataset,global_ratio,local_ratio,sampled_tokens,total_tokens
ar,sft,Filtered-Ara-Translated-Ultra-Chat,16.6076,55.3586,"498,227,009,401","1,374,675,807.0"
ar,sft,dpv-trans-Airoboros,0.0539,0.1797,"1,617,299,357","4,462,348.0"
ar,sft,dpv-trans-Alpaca,0.0452,0.1507,"1,356,404,590","3,742,504.0"
ar,sft,dpv-trans-Baize-Chat-Data,0.5138,1.7126,"15,413,831,858","42,528,850.0"
ar,sft,dpv-trans-Book-Summaries,0.1826,0.6088,"5,479,495,022","15,118,669.0"
ar,sft,dpv-trans-Camel-AI-Science,0.3801,1.2668,"11,401,554,761","31,458,434.0"
ar,sft,dpv-trans-Dolly-15k,0.0307,0.1024,"921,995,327","2,543,910.0"
ar,sft,dpv-trans-Flan-Collection-Chain-of-Thought,0.6174,2.058,"18,522,115,643","51,105,026.0"
ar,sft,dpv-trans-Flan-Collection-Dialog,2.8315,9.4385,"84,946,284,334","234,378,305.0"
ar,sft,dpv-trans-GPT-4-Alpaca,0.0889,0.2963,"2,666,791,506","7,358,039.0"
ar,sft,dpv-trans-GPTeacher,0.1451,0.4837,"4,353,478,540","12,011,837.0"
ar,sft,dpv-trans-HC3-English,0.0536,0.1785,"1,606,543,089","4,432,670.0"
ar,sft,dpv-trans-Joke-Explanation,0.0007,0.0023,"20,376,310","56,221.0"
ar,sft,dpv-trans-Longform,0.1379,0.4596,"4,136,361,980","11,412,783.0"
ar,sft,dpv-trans-NomicAI-GPT4AllJ,4.2933,14.3109,"128,798,141,885","355,371,520.0"
ar,sft,dpv-trans-OIG,0.0161,0.0537,"483,028,477","1,332,741.0"
ar,sft,dpv-trans-Open-Assistant,0.0949,0.3164,"2,847,652,869","7,857,060.0"
ar,sft,dpv-trans-OpenAI-Summarize-from-Feedback,0.3125,1.0418,"9,376,358,793","25,870,644.0"
ar,sft,dpv-trans-OpenAI-WebGPT,0.0115,0.0383,"345,068,959","952,092.0"
ar,sft,dpv-trans-Self-Instruct,0.0552,0.1839,"1,655,180,788","4,566,868.0"
ar,sft,dpv-trans-ShareGPT-Vicuna,1.8021,6.0071,"54,064,314,113","149,170,766.0"
ar,sft,dpv-trans-Tiny-Stories,0.0707,0.2357,"2,121,683,075","5,854,011.0"
ar,sft,dpv-trans-Unnatural-Instructions,0.0731,0.2435,"2,191,886,949","6,047,713.0"
ar,sft,dpv-trans-WizardLM-Evol-Instruct,0.2543,0.8476,"7,628,011,140","21,046,716.0"
ar,sft,dpv-trans-WizardLM-Evol-Instruct-V2,0.6471,2.1569,"19,411,821,871","53,559,846.0"
ar,sft,dpv-trans-openhermes,0.6185,2.0616,"18,554,819,003","51,195,259.0"
ar,books,books--Bahith-batch-may1624,0.0,0.0,0,0
ar,books,books--Bahith,0.0,0.0,0,0
ar,books,books--Books-Libaray,0.0,0.0,0,0
ar,books,books--Darah-2,0.0,0.0,0,0
ar,books,books--Darah-Scanner-books,0.0,0.0,0,0
ar,books,books--Darah-books,0.0,0.0,0,0
ar,books,books--DrRabeea,0.0,0.0,0,0
ar,books,books--MinhajLibrary,0.0,0.0,0,0
ar,books,books--SDAIA-Batch-9,0.0,0.0,0,0
ar,books,books--abbjad,0.0,0.0,0,0
ar,books,books--amer-books,0.0,0.0,0,0
ar,books,books--arab-books-com,0.0,0.0,0,0
ar,books,books--asr-sample-20240720,0.0,0.0,0,0
ar,books,books--bahith,0.0,0.0,0,0
ar,books,books--bog,0.0,0.0,0,0
ar,books,books--book-scanning-oct13-27,0.0,0.0,0,0
ar,books,books--book-scanning-sep24,0.0,0.0,0,0
ar,books,books--book-scanning-sep28,0.0,0.0,0,0
ar,books,books--book-scanning,0.0,0.0,0,0
ar,books,books--darah-history-books-batch-2,0.0,0.0,0,0
ar,books,books--datatreat,0.0,0.0,0,0
ar,books,books--deem-docs,0.0,0.0,0,0
ar,books,books--deem,0.0,0.0,0,0
ar,books,books--diwan-123,0.0,0.0,0,0
ar,books,books--gcambooks,0.0,0.0,0,0
ar,books,books--gcamdata,0.0,0.0,0,0
ar,books,books--golden-shamela-v2,0.0,0.0,0,0
ar,books,books--gov-batch-jul24-doc,0.0,0.0,0,0
ar,books,books--gov-content-batch-jul24,0.0,0.0,0,0
ar,books,books--gov-guides,0.0,0.0,0,0
ar,books,books--hindawi,0.0,0.0,0,0
ar,books,books--ibook,0.0,0.0,0,0
ar,books,books--imamu,0.0,0.0,0,0
ar,books,books--jadawel,0.0,0.0,0,0
ar,books,books--ketab-n,0.0,0.0,0,0
ar,books,books--ketabonline,0.0,0.0,0,0
ar,books,books--ketabpedia,0.0,0.0,0,0
ar,books,books--kotobati,0.0,0.0,0,0
ar,books,books--ksaa-sep24,0.0,0.0,0,0
ar,books,books--ksaa,0.0,0.0,0,0
ar,books,books--ksu,0.0,0.0,0,0
ar,books,books--mbr-books,0.0,0.0,0,0
ar,books,books--nan,0.0,0.0,0,0
ar,books,books--noor-batch3,0.0,0.0,0,0
ar,books,books--noor-book-24-sep,0.0,0.0,0,0
ar,books,books--noor-books-27-aug-docs,0.0,0.0,0,0
ar,books,books--noor-books-27-aug,0.0,0.0,0,0
ar,books,books--noor-books-batch-2-docs,0.0,0.0,0,0
ar,books,books--noor-books-pdf2,0.0,0.0,0,0
ar,books,books--noor-books-pdfs,0.0,0.0,0,0
ar,books,books--noor-books,0.0,0.0,0,0
ar,books,books--nyu-books,0.0,0.0,0,0
ar,books,books--priority-books-apr2024,0.0,0.0,0,0
ar,books,books--priority-books-jan2024,0.0,0.0,0,0
ar,books,books--priority-books-mar2024,0.0,0.0,0,0
ar,books,books--priority-books-mar24kfpnl,0.0,0.0,0,0
ar,books,books--priority-books-may2024-2,0.0,0.0,0,0
ar,books,books--priority-books-may2024,0.0,0.0,0,0
ar,books,books--psau,0.0,0.0,0,0
ar,books,books--quran,0.0,0.0,0,0
ar,books,books--roots-ar-openiti-proc-old,0.0,0.0,0,0
ar,books,books--roots-ar-openiti-proc,0.0,0.0,0,0
ar,books,books--roots-ar-tashkeela,0.0,0.0,0,0
ar,books,books--roots-ar-wikibooks,0.0,0.0,0,0
ar,books,books--scanning-books-6-oct,0.0,0.0,0,0
ar,books,books--sdaia-scraped-pdfs-batch-2,0.0,0.0,0,0
ar,books,books--sdaia-scraped-pdfs-batch-3,0.0,0.0,0,0
ar,books,books--sdaia-scraped-pdfs-batch-4,0.0,0.0,0,0
ar,books,books--sdaia-scraped-pdfs-batch-5,0.0,0.0,0,0
ar,books,books--sdaia-scraped-pdfs-batch-6,0.0,0.0,0,0
ar,books,books--sdaia-scraped-pdfs-batch-9,0.0,0.0,0,0
ar,books,books--semanoor.books,0.0,0.0,0,0
ar,books,books--shamela,0.0,0.0,0,0
ar,books,books--telegram-batch02,0.0,0.0,0,0
ar,books,books--telegram-batch03,0.0,0.0,0,0
ar,books,books--telegram-batch04,0.0,0.0,0,0
ar,books,books--telegram-batch05,0.0,0.0,0,0
ar,books,books--telegram-batch06,0.0,0.0,0,0
ar,books,books--telegram-batch07,0.0,0.0,0,0
ar,books,books--telegram-p01,0.0,0.0,0,0
ar,books,books--جامعة الملك سعود,0.0075,0.0251,"225,983,830","779,400"
ar,encyclopedias,encyclopedias--Encyclopedia of Islam,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--SaudiPedia - Arabic,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--kaahe,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--marefa,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--mayo-clinic-arabic,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--saudipedia,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--sdaia-scraped-encyclopedias-batch-1,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--sdaia-scraped-encyclopedias-batch-3,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--sdaia-scraped-encyclopedias-batch-4,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--sdaia-scraped-encyclopedias-batch-9,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--webteb,0.0,0.0,0,0
ar,encyclopedias,encyclopedias--wiki-20240420,0.0,0.0,0,0
ar,local,local--Gov-content-batch-jan24,0.0,0.0,0,0
ar,local,local--apd,0.0,0.0,0,0
ar,local,local--capital-market-authority-pdfs,0.0,0.0,0,0
ar,local,local--correction-and-rehabilitation-center,0.0,0.0,0,0
ar,local,local--darah,0.0,0.0,0,0
ar,local,local--ecza,0.0,0.0,0,0
ar,local,local--gov-content-batch-jul24,0.0,0.0,0,0
ar,local,local--hrdf,0.0,0.0,0,0
ar,local,local--hrsd,0.0,0.0,0,0
ar,local,local--ids,0.0,0.0,0,0
ar,local,local--kapl,0.0,0.0,0,0
ar,local,local--kapsarc,0.0,0.0,0,0
ar,local,local--ksaa,0.0,0.0,0,0
ar,local,local--moi,0.0,0.0,0,0
ar,local,local--moj,0.0,0.0,0,0
ar,local,local--mot,0.0,0.0,0,0
ar,local,local--mygovsa,0.0,0.0,0,0
ar,local,local--ncar2,0.0,0.0,0,0
ar,local,local--ncar3,0.0,0.0,0,0
ar,local,local--ncar4,0.0,0.0,0,0
ar,local,local--ncar,0.0,0.0,0,0
ar,local,local--pss-ar-twitter,0.0,0.0,0,0
ar,local,local--safiu,0.0,0.0,0,0
ar,local,local--sfda,0.0,0.0,0,0
ar,local,local--sgs,0.0,0.0,0,0
ar,local,local--shc,0.0,0.0,0,0
ar,local,local--uhb,0.0,0.0,0,0
ar,local,local--umm-alqura,0.0,0.0,0,0
ar,local,local--zatca,0.0,0.0,0,0
ar,local,local--اتحاد الغرف السعودية,0.0016,0.0054,"48,848,344","168,474"
ar,local,local--المؤسسة العامة للتدريب التقني والمهني,0.0014,0.0045,"40,718,841","140,436"
